Stock,Label
0,3
1,3
2,6
3,10
4,4
5,5
6,2
7,3
8,5
9,6
10,6
11,7
12,1
13,5
14,4
15,3
16,2
17,4
18,7
19,3
20,4
21,6
22,3
23,7
24,2
25,7
26,7
27,1
28,7
29,6
30,4
31,1
32,4
33,2
34,5
35,5
36,2
37,3
38,3
39,9
40,4
41,3
42,1
43,2
44,8
45,2
46,5
47,6
48,9
49,3
50,3
51,2
52,1
53,2
54,2
55,1
56,6
57,4
58,9
59,5
60,10
61,6
62,6
63,1
64,1
65,6
66,2
67,3
68,5
69,3
70,1
71,4
72,6
73,2
74,5
75,2
76,4
77,4
78,10
79,9
80,2
81,2
82,1
83,6
84,10
85,6
86,2
87,4
88,1
89,2
90,1
91,5
92,2
93,2
94,6
95,10
96,4
97,10
98,7
99,7
100,7
101,8
102,1
103,6
104,1
105,1
106,9
107,7
108,1
109,6
110,2
111,6
112,6
113,2
114,2
115,6
116,9
117,1
118,6
119,9
120,3
121,4
122,6
123,6
124,7
125,6
126,2
127,7
128,2
129,2
130,2
131,2
132,3
133,6
134,1
135,6
136,2
137,3
138,6
139,2
140,10
141,7
142,10
143,6
144,5
145,4
146,2
147,7
148,2
149,2
150,3
151,10
152,2
153,2
154,9
155,5
156,2
157,2
158,2
159,4
160,4
161,6
162,6
163,1
164,2
165,7
166,6
167,6
168,6
169,2
170,5
171,2
172,2
173,5
174,1
175,2
176,2
177,3
178,3
179,3
180,10
181,1
182,4
183,2
184,1
185,10
186,1
187,2
188,3
189,6
190,9
191,1
192,9
193,2
194,1
195,8
196,6
197,10
198,1
199,2
200,10
201,9
202,1
203,6
204,10
205,3
206,7
207,6
208,1
209,2
210,1
211,4
212,9
213,4
214,6
215,1
216,10
217,4
218,2
219,6
220,1
221,1
222,1
223,3
224,8
225,9
226,2
227,9
228,2
229,2
230,2
231,4
232,4
233,2
234,7
235,3
236,10
237,2
238,3
239,4
240,5
241,4
242,4
243,6
244,1
245,6
246,4
247,2
248,6
249,3
250,9
251,3
252,5
253,10
254,1
255,5
256,5
257,3
258,5
259,6
260,6
261,3
262,2
263,6
264,3
265,2
266,7
267,2
268,2
269,1
270,6
271,3
272,6
273,2
274,3
275,10
276,3
277,6
278,7
279,1
280,4
281,4
282,7
283,5
284,2
285,2
286,2
287,3
288,4
289,2
290,3
291,4
292,2
293,6
294,9
295,6
296,6
297,9
298,3
299,3
300,1
301,2
302,1
303,3
304,3
305,6
306,2
307,6
308,6
309,2
310,4
311,6
312,5
313,3
314,3
315,6
316,3
317,3
318,6
319,1
320,2
321,1
322,6
323,4
324,3
325,3
326,4
327,9
328,4
329,3
330,2
331,9
332,3
333,4
334,3
335,8
336,1
337,4
338,4
339,3
340,9
341,5
342,6
343,5
344,3
345,1
346,3
347,1
348,7
349,2
350,10
351,9
352,4
353,2
354,6
355,3
356,9
357,3
358,3
359,6
360,3
361,9
362,3
363,6
364,2
365,2
366,2
367,3
368,9
369,5
370,3
371,7
372,9
373,5
374,4
375,5
376,2
377,10
378,5
379,6
380,6
381,6
382,1
383,2
384,1
385,6
386,2
387,3
388,9
389,2
390,2
391,6
392,5
393,2
394,5
395,2
396,6
397,4
398,4
399,5
400,3
401,5
402,10
403,2
404,1
405,5
406,2
407,6
408,9
409,6
410,5
411,6
412,5
413,6
414,6
415,6
416,1
417,2
418,1
419,3
420,9
421,2
422,7
423,3
424,1
425,6
426,6
427,3
428,5
429,2
430,6
431,2
432,6
433,10
434,6
435,4
436,2
437,7
438,3
439,10
440,9
441,9
442,2
443,7
444,5
445,7
446,5
447,9
448,4
449,10
450,10
451,4
452,1
453,6
454,6
455,1
456,2
457,3
458,2
459,1
460,4
461,6
462,3
463,3
464,9
465,4
466,9
467,6
468,6
469,1
470,3
471,1
472,1
473,1
474,9
475,6
476,1
477,9
478,1
479,6
480,6
481,5
482,6
483,4
484,3
485,5
486,4
487,4
488,7
489,2
490,6
491,7
492,3
493,2
494,1
495,9
496,3
497,1
498,1
499,3
500,9
501,2
502,5
503,6
504,3
505,6
506,6
507,5
508,6
509,5
510,3
511,3
512,6
513,3
514,4
515,4
516,2
517,5
518,1
519,6
520,2
521,3
522,4
523,1
524,2
525,1
526,2
527,1
528,5
529,3
530,5
531,7
532,3
533,2
534,2
535,9
536,1
537,1
538,6
539,7
540,9
541,1
542,1
543,2
544,5
545,3
546,10
547,6
548,3
549,8
550,2
551,6
552,2
553,9
554,6
555,3
556,4
557,5
558,3
559,3
560,2
561,6
562,1
563,1
564,3
565,9
566,6
567,3
568,1
569,1
570,6
571,3
572,4
573,3
574,5
575,5
576,6
577,6
578,6
579,5
580,1
581,1
582,6
583,4
584,2
585,6
586,2
587,4
588,10
589,4
590,2
591,1
592,2
593,10
594,3
595,4
596,1
597,9
598,5
599,10
600,5
601,10
602,9
603,4
604,10
605,7
606,3
607,3
608,5
609,6
610,1
611,5
612,9
613,8
614,4
615,1
616,7
617,3
618,1
619,3
620,3
621,6
622,1
623,6
624,5
625,7
626,6
627,6
628,5
629,7
630,3
631,6
632,2
633,2
634,10
635,7
636,3
637,8
638,7
639,7
640,5
641,2
642,4
643,5
644,9
645,4
646,3
647,4
648,5
649,7
650,7
651,3
652,1
653,2
654,7
655,5
656,10
657,2
658,7
659,7
660,5
661,4
662,10
663,6
664,6
665,4
666,5
667,2
668,5
669,1
670,6
671,9
672,10
673,1
674,2
675,7
676,4
677,10
678,6
679,9
680,4
681,7
682,2
683,7
684,5
685,9
686,7
687,9
688,8
689,1
690,3
691,3
692,5
693,1
694,5
695,6
696,4
697,9
698,8
699,9
700,2
701,6
702,4
703,3
704,6
705,1
706,1
707,10
708,7
709,9
710,2
711,7
712,1
713,7
714,2
715,4
716,1
717,6
718,1
719,5
720,9
721,9
722,3
723,2
724,7
725,7
726,7
727,6
728,7
729,1
730,4
731,2
732,8
733,3
734,9
735,4
736,4
737,7
738,7
739,1
740,7
741,9
742,8
743,10
744,5
745,8
746,4
747,1
748,3
749,2
750,3
751,5
752,7
753,2
754,7
755,10
756,5
757,9
758,10
759,3
760,8
761,10
762,1
763,4
764,1
765,1
766,7
767,2
768,8
769,1
770,4
771,9
772,1
773,2
774,10
775,7
776,9
777,2
778,5
779,2
780,7
781,1
782,7
783,2
784,4
785,6
786,5
787,3
788,7
789,8
790,6
791,9
792,8
793,9
794,5
795,9
796,7
797,4
798,3
799,7
800,10
801,4
802,4
803,3
804,10
805,10
806,4
807,1
808,4
809,6
810,5
811,6
812,1
813,10
814,7
815,3
816,3
817,3
818,9
819,3
820,7
821,9
822,6
823,10
824,1
825,2
826,3
827,4
828,1
829,6
830,4
831,6
832,8
833,9
834,2
835,10
836,3
837,5
838,3
839,10
840,2
841,2
842,1
843,1
844,1
845,4
846,5
847,5
848,9
849,9
850,6
851,5
852,3
853,8
854,2
855,8
856,5
857,4
858,5
859,6
860,4
861,6
862,7
863,5
864,2
865,2
866,9
867,7
868,10
869,10
870,1
871,5
872,4
873,10
874,2
875,1
876,4
877,4
878,1
879,3
880,10
