Month,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
192607,1.8265,0.1066,-0.3456,3.2452,1.7912,2.3323
192608,0.3162,0.777,5.2394,1.7484,2.0545,6.7474
192609,-4.1508,-0.7726,0.457,-0.3088,-0.0856,-0.8468
192610,-4.2613,-4.708,-2.2848,-3.0012,-2.3664,-4.3137
192611,0.3505,2.4674,2.2338,2.8951,3.7606,4.4267
192612,4.3615,1.82,1.7269,2.3792,2.1816,2.0312
192701,-1.4215,-1.7287,3.8784,0.4354,0.2616,4.4259
192702,3.3077,6.3184,7.506,5.1286,3.748,11.5871
192703,-1.3579,-2.2787,-3.4896,-0.6777,-0.7091,-2.7706
192704,-0.9895,0.7125,3.9072,1.1436,-0.3884,0.2217
192705,3.9417,4.4062,10.9899,5.1582,5.2845,8.5559
192706,-3.5016,0.1831,-2.2168,-1.6226,-3.061,0.4168
192707,6.9848,6.71,4.4511,7.0768,6.537,6.6509
192708,2.0427,-2.1734,0.4362,2.7079,1.1533,-3.3397
192709,2.3812,2.5569,0.1383,4.2502,3.7036,8.342
192710,-1.5389,-2.7818,-6.594,-1.5835,-2.8061,-9.08
192711,12.5156,10.1461,12.0542,7.7502,7.4867,8.1289
192712,5.0965,3.7629,3.2564,3.3592,2.8823,4.1397
192801,3.119,2.9421,7.7069,1.1445,1.248,-2.4679
192802,-3.8053,-0.6772,-3.0295,-1.7954,-1.9612,-4.3898
192803,8.2558,6.8277,8.1891,8.5539,6.6329,7.968
192804,2.2072,11.2318,14.3749,4.4108,4.9231,4.5955
192805,6.9093,5.5454,5.3351,1.7619,1.0985,0.2295
192806,-9.0724,-8.5755,-7.9958,-4.3581,-4.5714,-6.4006
192807,-0.5035,0.1434,-1.2787,0.8794,0.1547,2.4076
192808,5.4568,4.1397,3.3889,8.9979,6.542,7.5833
192809,5.0544,3.9879,8.4528,4.9853,3.011,5.8983
192810,4.7247,2.5313,1.7036,0.8026,1.1615,0.4691
192811,8.7204,11.9385,11.6614,11.24,12.2692,12.322
192812,-0.8571,-1.8988,-2.8078,1.8712,0.8588,0.1789
192901,2.1866,0.5699,3.1986,5.0971,3.4319,2.8935
