Month,SMALL LoDP,ME1 DP2,SMALL HiDP,BIG LoDP,ME2 DP2,BIG HiDP
192707,4.47,5.07,8.15,7.9,6.41,5.24
192708,-1.09,0.88,-0.3,1.45,1.15,1.94
192709,2.14,5.08,0.34,4.22,3.81,4.2
192710,-1.7,0.06,-2.22,-3.94,-2.62,-1.62
192711,11.76,5.7,10.23,6.06,7.72,8.71
192712,4.44,6.09,4.07,2.61,2.73,5.22
192801,5.55,2.51,3.76,0.67,1.57,-0.93
192802,-3.28,-1.26,-1.49,-2.6,-1.76,-0.66
192803,7.69,5.32,5.67,7.27,6.4,5.83
192804,8.7,3.91,9.06,4.53,4.06,5.51
192805,3.74,2.99,7.98,2.06,1.68,1.94
192806,-8.5,-6.05,-6.93,-5.1,-4.38,-4.95
192807,1.87,1.88,-1.36,1.39,0.74,0.48
192808,1.75,6.83,2.13,9.47,6.85,5.97
192809,2.7,2.6,4.02,5.04,3.49,4.41
192810,6.69,0.66,2.03,2.48,0.87,-0.22
192811,9.56,10.32,5.62,12.69,10.42,8.95
192812,-0.64,0.12,0.1,0.95,0.96,2.55
192901,5.61,0.94,1,3.85,5.68,3.58
192902,-0.86,-0.88,3.68,0.18,0.64,0.85
192903,-1.87,-4.24,-5.93,-2.32,-2,-1.31
192904,1.64,0.85,3.16,2.41,2.48,-1.02
192905,-9.58,-9.31,-11.13,-6.29,-3.88,-7.4
192906,5.75,7.96,6.3,11.93,9.23,5.66
192907,3.25,2.08,0.07,4.61,3.21,1.27
192908,-1.32,2.35,0.1,8.25,5.44,3.52
192909,-2.63,-4.58,-2.84,-0.61,-3.78,-5.16
192910,-21.8,-18.2,-15.02,-25.12,-14.08,-13.62
192911,-17.78,-10.87,-10.37,-13.97,-9.56,-7.96
192912,1.48,-2.46,-5.27,1.93,-0.62,-1.96
193001,7.69,10.49,9.84,6.04,6.64,7.49
193002,1.55,1.37,4,4.61,1.67,1.28
193003,7.69,5.47,5.86,7.09,6.93,3.32
193004,-2.24,-2.79,-3.23,-1.81,-4.59,-10.38
193005,-0.27,-4.51,-3.16,-2.83,-1.15,-1.7
