Month,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
196307,-0.5503,-1.2996,0.2813,-1.3811,-0.3659,-0.9445
196308,4.3089,2.9984,3.0685,6.1633,5.3411,6.3205
196309,-0.6329,-1.2181,-1.2994,-2.212,-1.6518,-2.3417
196310,1.4798,0.6911,1.4032,2.6844,1.3896,2.3089
196311,-2.0371,-1.5425,-2.9752,-0.8184,-0.9172,-0.4499
196312,-1.5518,-0.4103,-0.9347,1.5269,1.9678,0.3045
196401,6.2718,3.6605,3.4435,2.3044,1.4373,0.2764
196402,2.2113,2.4532,2.4654,2.6094,2.2765,1.8151
196403,5.3274,3.1369,1.6108,4.8974,1.8106,1.9283
196404,0.5459,-0.2165,-0.7332,-1.5806,0.8656,-0.2185
196405,1.8779,0.023,-0.9604,1.3999,1.4628,0.8417
196406,0.8556,1.9078,0.2982,0.6958,2.3245,1.9757
196407,3.2004,3.62,2.7121,2.7292,2.6768,1.6079
196408,-0.9023,-0.109,0.1096,-0.1725,-0.7421,-1.202
196409,3.8862,3.914,3.5943,3.3017,3.0153,4.2187
196410,2.8478,2.3174,1.983,1.2772,1.3268,1.2921
196411,-0.8244,-0.8516,-0.1698,0.7181,0.5544,0.7856
196412,-3.1379,-0.6821,-0.8713,-0.9305,-0.0057,0.2701
196501,9.0562,7.5773,7.4511,5.1924,4.868,6.0299
196502,4.0495,4.0758,4.0178,2.3649,2.6865,2.6679
196503,3.2567,2.0213,1.1504,0.4737,-1.1275,-0.4177
196504,3.5874,5.4998,5.3594,2.9072,2.9668,3.6025
196505,0.2005,-0.4336,0.4087,-0.609,-0.7982,0.2492
196506,-9.6939,-8.2432,-9.9592,-6.9026,-5.6132,-7.4307
196507,2.7946,3.065,2.9917,2.7958,2.2094,2.8511
196508,4.5431,4.0106,5.1693,2.9784,3.7838,5.2961
196509,3.9207,3.6658,2.7499,2.5409,2.7263,3.837
196510,7.8839,5.9985,7.5911,2.8825,3.0402,4.3257
196511,8.023,5.1066,6.5331,1.3634,1.6243,3.7531
196512,5.6598,4.8035,6.3509,1.5895,2.3984,2.3985
196601,9.2292,7.8154,6.7403,1.4841,1.4831,3.4675
196602,5.8938,3.2044,5.0348,-2.0868,-0.7735,0.961
