Month,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
192602,-5.97,-5.66,-6.7,-6.05,-3.75,-5
192603,-14.18,-10.49,-8.72,-12.92,-7.09,-5.61
192604,2.23,2.77,4.72,1.59,4.03,3.7
192605,-1,-0.14,-0.7,-0.46,0.84,1.64
192606,5.96,3.62,4.56,7.65,5.54,3.61
192607,-0.05,0.64,0.24,2.63,1.65,3.39
192608,6.03,1.82,2.73,2.59,2.95,0.93
192609,-1.13,-0.47,-1.85,-0.48,-0.04,-0.72
192610,-6.09,-2.3,-2.48,-4.81,-2.85,-2.45
192611,1.53,4.31,-0.6,5.33,3.62,1.7
192612,3.77,1.34,1.04,3.09,2.1,2.8
192701,2.04,0.33,2.44,0.19,0.75,1.1
192702,5.39,6.19,6.82,5.19,3.62,8.73
192703,-3.19,-4.41,-1.76,-3.37,-0.04,-0.48
192704,0.34,2.79,-0.22,-1.8,0.61,1.54
192705,7.11,5.79,5.76,5.12,6.11,7.29
192706,-0.32,-2.78,-3.16,-4.59,-1.92,-1.1
192707,7.28,5.57,3.2,6.69,6.72,5.72
192708,-0.84,1.97,-3.09,0.51,1.91,0.56
192709,1.51,2.91,-0.2,6.31,3.76,5.45
192710,-4.36,-4.06,-4.47,-3.71,-2.63,-3.87
192711,18.86,9.48,8.13,8.46,7.01,7.59
192712,3.19,4.84,1.51,1.87,2.81,4.85
192801,7.66,4.67,3.97,0.48,1.58,0.2
192802,-1.55,-2.64,-2.08,-2.81,-2.01,-2.53
192803,6.93,6.73,6.92,8.07,7.51,8.7
192804,14.29,9.12,11.59,4.22,5.9,5.38
192805,8.64,5.37,3.7,2.89,2.33,0.32
192806,-8.81,-6.3,-10.81,-5.1,-5.08,-6.51
192807,-2,0.23,0.73,1.55,1.17,0.66
192808,5.67,2.84,3.07,7.57,6.71,9.09
192809,5.8,5.39,5.65,2.78,4.69,5.79
192810,1.47,0.16,5.21,2.33,0.38,1.41
192811,13.05,10.74,9.91,9.24,11.9,14.37
192812,-0.46,-3.1,-2.25,-0.65,1.76,1.53
192901,3.19,1.74,2.38,-1.2,5.78,4.65
192902,1.37,0.14,0.1,-0.11,1.61,-0.83
192903,-4.33,-4.85,-3.75,-3.05,-1.69,-2.49
192904,0.47,1.71,1.79,2.81,1.85,0.54
192905,-14.15,-9.39,-11.41,-8.86,-5.57,-5.58
192906,8.01,4.68,2.06,12.54,9.6,7.5
192907,0.52,1.37,-1.49,1.3,4.24,3.42
192908,1.01,-0.55,-1.89,4.14,4.96,7.36
192909,-5.89,-4.15,-6.87,-1.11,-3.15,-4.36
192910,-25.66,-20.89,-19.15,-24.18,-16.37,-22.11
192911,-13.49,-11.62,-13.8,-18.47,-12.77,-7.54
192912,-8.06,-5.64,-3.75,3.58,1.58,-1.74
193001,22.31,10.89,6.22,10.8,6.72,4.47
193002,6.59,5.29,3.02,1.99,2.33,2.91
193003,16.08,11.16,12.44,9.37,6.39,8.3
193004,-5.07,-5.31,-5.76,-2.78,-3.46,-3.69
193005,-6.18,-3.92,-7.71,-1.55,-2.35,-2.56
193006,-23.06,-18.25,-20.56,-21.13,-16.14,-16.14
193007,7.53,2.03,-2.18,7.42,4.9,1.63
193008,-1.54,-0.89,-6.44,-0.99,0.3,-1.81
193009,-18.29,-14.53,-17.78,-17.93,-11.77,-13.93
193010,-8.53,-10.7,-10.89,-12.46,-10.87,-6.55
193011,0.77,-2.62,-5.96,-2.37,-2.27,-2.15
193012,-20.86,-15.19,-16.85,-11.56,-8.97,-9.81
193101,32.33,12.27,6.72,16.23,9.58,3.73
193102,18.56,18.6,20.9,12.53,10.89,14.23
193103,-2.23,-4.38,-10.1,-5.82,-5.53,-10.77
193104,-17.79,-17.31,-17.92,-16.27,-13.33,-9.69
193105,-13.78,-14.75,-12.21,-18.5,-14.28,-12.09
193106,33.28,17.06,8.89,28.03,13.97,8.89
193107,-2.51,-7.68,-9.6,-1.9,-7.19,-12.73
193108,-1.93,-3.33,-5.46,-1.22,0.32,-0.17
193109,-30.37,-31.52,-34.15,-32.07,-28.13,-33.45
193110,23.53,10.97,-3.82,18.13,11.14,0.46
193111,-7.05,-7.14,-13.37,-9.15,-9.2,-9.31
193112,-19.64,-21.17,-25.89,-22.08,-12.71,-13.72
193201,26.62,9.06,-1.62,13.69,3.41,-3.37
193202,7.5,2.24,-3.26,3.7,4.6,-4.74
193203,-10.7,-11.21,-14.96,-16.21,-8.93,-13.74
193204,-15.83,-20.82,-20.8,-19.22,-18.14,-13.93
193205,-15.46,-18.3,-15.37,-27.13,-24.85,-21.8
193206,21.39,1.31,-4.72,11.6,1.17,-3.31
193207,58.79,35.77,44.98,44.5,36.21,42.11
193208,99.05,85.01,78.87,30.01,41.09,68.86
193209,0.07,-7.16,-14.25,-1.67,-2.69,-10.72
193210,-15.13,-18.01,-18.5,-17.6,-15.75,-16.17
193211,-0.6,-10.82,-8.41,-9.7,-7.31,-4.34
193212,-6.75,-7.06,-13.11,0.62,1.74,0.57
193301,8.98,1.63,-1.28,4.93,2.07,2.21
193302,-7.88,-17.78,-20.34,-17.19,-15.61,-16.19
193303,23.12,12.83,2.52,9.5,6.65,6.88
193304,60.86,53.09,47.94,45.87,44.14,58.79
193305,102.08,90.94,75.1,29.08,31.76,37.42
193306,33.16,36.32,26.14,13.09,17.44,11.69
193307,-0.26,-10.91,-11.26,-8.68,-10.51,-16.46
193308,14.36,4.31,3.25,20.8,13.52,12.23
193309,-17.19,-17.66,-17.93,-10.83,-14.22,-12.55
193310,-8.9,-12.72,-16.05,-14.1,-9.45,-8.21
193311,7.36,6.84,-3.11,12.48,8.39,6.21
193312,2.04,-1.33,1.1,3.55,1.97,4.12
193401,55.14,37.69,36.28,27.63,16.05,20.15
193402,5.4,4.68,2.9,-1.94,-1.2,-2.57
193403,3.22,1.41,-1.34,1.12,0.3,0.14
193404,2.99,0.37,0.26,-1.16,-1.49,-1.67
193405,-14.8,-11.13,-12.14,-11.56,-9.38,-5.78
193406,-2.41,-1.35,-3.46,0.82,2.52,3.65
193407,-22.47,-22.37,-23.91,-19.17,-15.81,-12.08
193408,19.48,9.52,0.05,14.28,8.81,3.18
193409,-1.64,-0.19,-3.35,0.21,-0.73,-0.96
193410,-2.13,-2.94,-2.48,-1.63,-1.74,-0.68
193411,15.86,18.22,12.09,10.14,10.21,11.26
193412,3.19,1.29,0.83,-0.43,0.74,3.77
193501,2.71,-1.99,-7.28,-5.38,-3.74,-4.16
193502,-5.09,-7.91,-12.99,-7.71,-1.61,0.5
193503,-11.81,-9.49,-8.18,-4.39,-5.61,-3.39
193504,15.14,9.1,7.48,11.89,8.08,8.24
193505,7.66,1.65,-3.24,4.22,2.78,1.05
193506,1.96,1.51,1.43,7.43,6.61,6.3
193507,15.56,13.94,10.68,7.02,6.57,11.11
193508,17.23,12.83,11,1.68,3.1,5.44
193509,6.95,3.82,-0.4,2.06,2.82,-0.25
193510,10.62,8.45,7.75,11.96,5.93,8.53
193511,36.17,17.41,14.34,8.62,5.5,4.64
193512,7.62,6.04,4.15,5.17,6.11,9.51
193601,26.58,17.55,20.35,6.66,8.04,8.77
193602,7.08,5.66,4.35,3.57,4.21,-1.97
193603,3.73,-0.28,-1.06,1.82,1.34,-0.89
193604,-17.63,-14.56,-13.15,-9.76,-9.07,-10.12
193605,8.42,4.48,0.86,8.86,3.82,4.66
193606,0.09,-2.23,-1.75,2.23,0.7,1
193607,10.58,5.94,7.36,7.96,7.22,7.77
193608,2.94,1.29,2.32,2.53,1.99,2.17
193609,6.14,4.3,3.24,2.53,1.36,2.66
193610,7.56,6.48,7.18,5.72,6.49,4.58
193611,14.93,12.01,13.68,4.16,4.49,6.54
193612,2.94,4.78,3.82,-0.04,1.75,3.35
193701,10.96,12.07,10.54,4.12,3.72,5.2
193702,7.16,2.49,1.91,2.03,1.8,1.4
193703,-1.12,0.67,-0.18,-1.57,-0.33,2.88
193704,-12.65,-9.51,-13.54,-7.68,-8.05,-9.02
193705,-3.5,-2.64,-2.21,-2.9,-1.55,-1.93
193706,-11.05,-9.25,-10.2,-6.2,-4.71,-5.54
193707,14.26,8.97,6.24,10.71,9.96,7.77
193708,-3.94,-4.68,-8.88,-2.79,-4.45,-8.16
193709,-22.87,-22.37,-20.08,-21.12,-16.54,-14.75
193710,-8.46,-11.64,-10.24,-12.77,-11.42,-8.05
193711,-12.13,-12.07,-13.93,-9.72,-10.27,-7.5
193712,-12.42,-14.88,-11.78,-10.63,-6.8,-5.42
193801,11.44,5.48,-0.45,2.22,3.48,-0.57
193802,8.51,6.54,1.79,8.83,7.04,4.16
193803,-26.2,-32.87,-35.86,-22.34,-25.36,-29.82
193804,30.31,22.38,9.54,25.92,19.55,11.99
193805,-4.69,-7.3,-11.65,-3.26,-5.92,-10.13
193806,41.88,31.64,22.69,40.85,30.34,18.16
193807,16.21,14.31,14.67,7.32,9.33,12.87
193808,-6.34,-9.42,-9.24,-3.63,-4.76,-3.71
193809,-1.7,-2.45,-4.69,0.94,-0.38,-1.12
193810,19.27,15.95,15.88,13.92,10.79,11.16
193811,-7.21,-5.13,-5.46,-1.64,-2.23,-2.07
193812,3.08,0.74,-0.11,7.1,4.96,4.67
193901,-5.22,-8.61,-10.66,-5.64,-6.17,-10.36
193902,6.76,4.85,-0.42,5.62,3.62,4.25
193903,-17.89,-18.03,-20.97,-12.87,-16.05,-18.28
193904,4.72,-0.94,-3.53,1.43,-0.26,-1.16
193905,11.25,8.39,6.12,9.7,8.54,7.3
193906,-8.6,-9.07,-11.66,-5.26,-7.38,-7.98
193907,21.02,12.65,6.72,21.63,12.43,8.06
193908,-8.08,-11.09,-16.08,-6.02,-9.08,-13.37
193909,66.7,46.78,59.83,32.32,24.61,12.71
193910,8.43,0.68,-10.03,6.15,-2.35,-5.08
193911,-15.4,-7.63,-7.11,-11.39,-4.89,-3.26
193912,-1.76,1.04,2.02,3.52,3.35,3.03
194001,0.67,-2.75,-4.7,-1.71,-1.69,-3.03
194002,5.18,5.07,1.7,2.76,1.53,1.93
194003,5.39,3.67,0.4,2.39,2.24,3.27
194004,4.28,0.93,-0.57,3,0.26,0.19
194005,-27.87,-26.87,-31.2,-26.92,-23.61,-26.33
194006,8.92,6.69,0.46,11.86,7.13,4.55
194007,5.34,4.04,0.93,5.15,4.54,2.03
194008,3.57,4.23,-1.71,1.65,2.54,2.35
194009,5.32,4.05,4.03,2.54,3.26,3.29
194010,5.43,5.37,3.38,6.87,4.2,4.87
194011,1.16,1.4,-1.38,0.11,0.02,-3.56
194012,-3.4,-1.55,-5.62,0.1,0.51,-1.32
194101,8.67,0.1,-4.07,-1.92,-3.56,-5.72
194102,-1.93,-2.48,-2.59,-0.99,-1.76,-2.38
194103,4.27,-0.21,1.32,0.9,1.51,-0.87
194104,-4.86,-6.88,-6.75,-6.83,-5.41,-4.08
194105,3,0.09,-1.54,2.28,1.11,0.66
