Month,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
196307,-0.8742,0.3311,-0.5306,-2.0675,-0.704,-0.1349
196308,3.2994,3.3577,3.7815,5.6528,5.3926,6.3338
196309,-0.2123,-0.8449,-1.2599,-1.6649,-1.7168,-2.4532
196310,1.0742,1.5123,1.3399,2.1685,1.2543,2.6179
196311,-2.4804,-1.0766,-2.8367,-0.5981,-1.1153,-0.3399
196312,-1.8941,0.0968,-1.0049,1.9425,1.6878,0.7095
196401,5.1328,4.1854,4.1662,1.5004,1.2614,1.0814
196402,3.3696,0.815,2.0733,2.6058,2.1017,2.1049
196403,3.426,3.4073,2.1326,4.7315,2.0003,1.8132
196404,0.0959,-0.3419,-0.4817,1.2127,0.1501,-0.9626
196405,0.9862,0.2099,-0.385,1.3271,1.4399,1.0777
196406,0.5533,1.0693,1.5092,2.1222,2.0221,1.4823
196407,4.1538,2.8992,2.9657,2.0354,2.8011,2.225
196408,0.1368,-0.5656,-1.0561,-0.5127,-0.1261,-1.6421
196409,3.6852,3.3088,4.9131,4.4101,2.9579,3.2619
196410,2.027,2.8077,2.3206,1.8542,1.0319,1.4098
196411,-1.0218,0.2958,-0.1061,0.0793,0.7292,0.9144
196412,-1.7929,-1.2299,-0.8458,-1.1819,-0.1998,0.4333
196501,8.5956,6.753,8.769,6.5623,4.3553,5.5201
196502,3.2143,3.718,4.4653,2.0699,2.2915,3.1323
196503,2.568,1.5135,0.8123,0.1064,-0.2057,-1.3078
196504,3.9409,4.7546,5.2255,3.8572,2.7163,3.1492
196505,0.1652,0.0067,0.6177,-0.732,-1.097,0.4882
196506,-9.6424,-9.1946,-9.3671,-7.7714,-5.9101,-6.186
196507,2.9749,3.8325,2.3471,3.9951,2.2108,2.2362
196508,4.2065,4.158,4.9796,3.5394,3.4507,4.8474
196509,4.032,4.364,2.5862,3.9066,2.423,3.31
196510,7.521,6.6939,6.5701,3.5449,2.554,4.3692
196511,8.3153,4.0822,5.3245,1.2472,1.2454,3.7895
196512,6.1199,4.7275,6.3011,3.5775,2.0477,1.4172
196601,9.469,6.6624,6.3507,4.1625,1.0808,2.1592
196602,6.4513,3.4035,4.4903,-0.1412,-1.3298,-0.1022
196603,-0.1585,-2.198,-1.532,-3.353,-1.86,-0.5383
196604,5.4358,5.3992,6.4297,2.6594,2.254,3.0611
196605,-10.8988,-9.5283,-9.6949,-6.8256,-5.1285,-5.2248
196606,-0.6264,0.7712,-0.7182,-0.0967,-0.7388,-1.0742
196607,-1.6439,-1.076,-2.0622,-1.2142,-1.3287,-1.2545
196608,-11.1949,-10.3898,-10.6005,-8.5653,-7.6042,-8.4994
196609,-2.185,-2.0718,-1.8184,-1.6619,-0.5067,-2.1748
196610,-2.8611,-2.0648,-4.4794,3.5567,4.9776,0.9504
196611,2.7998,3.7818,5.9884,3.1759,1.5566,6.8481
196612,1.5219,1.8158,1.8181,1.5145,2.2411,1.8926
196701,20.4331,19.4122,21.2336,12.7432,9.2706,10.0451
196702,7.2411,4.3359,5.3974,0.3737,0.2273,1.6002
196703,5.682,7.2739,5.5083,5.059,4.3645,5.8876
196704,4.674,4.0332,4.9792,4.1266,3.492,4.5767
196705,0.6297,-1.0968,-0.0912,-1.8308,-2.7475,-3.3343
196706,11.4049,9.2859,10.9384,4.1558,2.4466,2.4482
196707,9.6647,9.0709,8.7138,6.3462,4.8961,5.6043
196708,0.5475,0.0282,1.4249,0.25,-0.7955,-0.8634
196709,8.4501,7.1026,7.8392,3.4219,2.6165,3.1699
196710,-0.4887,-0.5335,-2.5622,-3.413,-5.0502,-3.0889
196711,-0.7305,-0.2217,0.2773,-0.4334,1.6329,0.6923
196712,10.8328,8.9524,10.0477,4.7652,3.5725,3.2908
196801,6.2594,2.4643,1.8871,-1.5299,-3.1255,-5.2889
196802,-7.3245,-5.6391,-6.33,-4.2504,-3.2788,-4.1899
196803,-0.7086,-2.0285,-1.5938,0.6707,-1.2919,0.8598
196804,16.5146,14.6641,17.6347,9.9254,8.1875,13.081
196805,12.664,9.9516,10.7175,4.2005,2.4696,3.97
196806,1.4026,1.9581,0.4668,1.7979,2.7349,0.6335
196807,-1.4006,-3.7559,-4.6057,-3.1303,-2.384,-5.4202
196808,5.0228,3.3101,3.8034,3.5386,1.3099,1.2653
196809,9.166,5.8231,7.2777,6.6015,5.1178,4.9896
196810,0.5279,0.9077,-0.1431,1.4774,1.24,0.8107
196811,6.8233,7.0601,7.6517,6.913,7.1745,7.4791
196812,3.6239,-0.3422,0.8829,-2.1362,-2.8807,-3.3752
196901,-0.441,-0.084,-0.9561,-0.2981,-0.576,-1.5524
196902,-10.8031,-8.0941,-9.2216,-6.7711,-5.8283,-6.5879
196903,2.6005,2.0123,2.0138,2.7434,1.6783,1.6962
196904,0.3496,0.3888,-0.8618,1.4934,1.176,1.7348
196905,1.5796,0.4235,-0.6534,0.0354,0.2617,-0.7318
