Month,SMALL LoCFP,ME1 CFP2,SMALL HiCFP,BIG LoCFP,ME2 CFP2,BIG HiCFP
195107,3.82,6.66,5.97,5.57,8.04,9.46
195108,7.16,5.3,5.14,3.45,6.1,7.2
195109,0.52,1.75,1.17,-0.19,0.5,-0.17
195110,-1.55,-0.81,-1.93,-4.5,-1.37,-1.51
195111,0.08,1.86,0.98,0.31,0.87,-0.03
195112,0.88,2.25,1.47,4.4,4.28,2.7
195201,0.95,1.41,0.57,-0.63,2.27,4.17
195202,-3.64,-2.39,-1.38,-2.84,-2.97,-4.76
195203,1.41,0.36,2.74,1.79,7.06,6.78
195204,-3.39,-5.74,-4.83,-4.27,-5.91,-7.55
195205,0.77,2.91,2.45,3.26,3.77,3.42
195206,2.72,3.15,2.69,3.26,5.51,5.17
195207,1.28,0.98,1.22,1.37,1.11,-0.03
195208,-0.44,0.61,-0.02,-0.03,-0.95,-1.88
195209,-1.28,-0.34,-1.5,-1.18,-2.16,-3.93
195210,-1.83,-1.41,-1.66,-0.34,-0.48,0.62
195211,6.8,4.42,6.93,7.47,4.72,5.04
195212,4.14,1.95,1.87,2.61,3.46,3.54
195301,3.62,2.53,4.47,-0.09,-1.33,-0.87
195302,2.74,0.77,2.33,-0.41,-0.13,0
195303,-4.42,-0.89,-0.73,-1.22,-1.15,-1.93
195304,-0.94,-1.92,-0.47,-1.81,-3.98,-2.39
195305,0.84,1.38,0.95,0.56,1.02,0.69
195306,-3.88,-2.76,-4.59,-1.61,-1.29,-0.78
195307,0.12,1.69,2.04,2.38,3.15,3.47
195308,-5.15,-2.7,-6.32,-2.99,-3.86,-7.14
195309,-1.46,-0.97,0,1.61,0.08,-0.68
195310,2.02,3.9,4.38,4.36,4.68,7.33
195311,3.83,1.11,1.02,3.5,2.77,2.41
195312,-0.67,-0.02,-1.9,0.42,0.31,1.73
195401,5.58,5.34,7.09,3.28,6.44,7.46
195402,0.78,2.68,0.91,1.51,1.51,3.27
195403,2.39,1.89,2.46,4.14,2.99,6.03
195404,3.12,3.59,-0.17,4.97,4.67,5.17
195405,3.2,3.21,6.17,2.29,3.31,3.74
195406,1.01,3.71,1.43,3.42,-0.41,-2.18
195407,4.41,5.82,9.72,2.96,6.25,7.56
195408,-0.47,-1.9,-0.04,-3.03,-2,-2.42
195409,4.77,4.85,4.58,4.98,9.07,9.3
195410,-1.56,-1.85,0.45,-2.55,-1.66,-0.43
195411,9.51,8.16,11.65,9.75,7.84,11.64
195412,12.56,9.48,11.06,2.94,5.2,9.16
