Month,SMALL LoDP,ME1 DP2,SMALL HiDP,BIG LoDP,ME2 DP2,BIG HiDP
192707,4.79,5.83,4.65,7.87,8.46,6.03
192708,-0.4,0.2,0.46,3.3,2.11,2.08
192709,1.66,4.36,0.54,4.81,5.11,4.18
192710,-2.15,0.08,-1.87,-4.87,-3.57,-2.88
192711,10.91,6.62,8.23,6.68,6.56,8.47
192712,5.32,4.91,4.57,1.55,2.16,5.38
192801,6.38,1.76,3.64,-0.72,-0.2,-3.04
192802,-4.08,-1.98,-2.36,-2.34,-0.54,-0.36
192803,10.4,5.83,6.75,8.54,9.91,5.98
192804,11.82,3.09,6.3,3.64,3.1,5.19
192805,3.25,3.54,4.98,0.82,1.97,2.86
192806,-7.34,-5.63,-7.64,-3.86,-3.81,-4.42
192807,2.2,1.26,-1.89,1.39,0.83,-0.2
192808,4.71,7.67,2.55,9.69,6.03,6.53
192809,1.95,3.15,4.64,2.77,3.04,2.98
192810,9.29,2.39,1.59,2.44,1.48,-0.18
192811,7.72,11.22,6.04,17.05,9.45,9.78
192812,-0.33,1.55,0.35,1.26,-0.09,3.06
192901,6.51,0.79,0.97,4.27,6.22,5.21
192902,-1.74,-0.93,4.34,-1.27,0.24,0.92
192903,-3.52,-4.88,-4.98,-0.83,0.18,-0.75
192904,2.2,2.65,0.12,3.19,1.61,-1.68
192905,-9.9,-8.3,-9.42,-2.89,-5.7,-7.92
192906,6.62,9.98,6.25,14.18,9.2,5.82
192907,2.82,2,0.33,5.48,4.44,2.18
192908,-2.21,3.13,0.29,11.53,8.91,3.39
192909,-2.45,-5.02,-2.62,-3.52,-5.76,-5.05
192910,-22.59,-19.24,-14.78,-24.81,-12.89,-13.44
192911,-17.56,-9.58,-8.97,-14.2,-11,-2.68
192912,2.05,-0.63,-3.49,4.2,0.45,-3.81
193001,4.16,7.64,6.74,6.37,4.14,3.83
193002,-0.12,1.39,2.69,3.4,2.1,1.92
193003,8.33,6.1,7.37,8.21,6.39,3.87
193004,-4.08,-2.29,-3.47,1.14,-4.33,-10.58
193005,-1.09,-2.97,-1.53,-2,0.19,1.41
193006,-18.51,-15.23,-13.69,-17.87,-12.21,-13.2
193007,5.78,3.96,5.17,3.67,5.1,4.47
193008,0.33,-2.87,-3.94,1.93,-0.72,-6.07
193009,-10.13,-12.84,-16.23,-11.35,-11.85,-15.2
193010,-6.53,-9.76,-7.99,-7.94,-8.8,-11.02
193011,-4.57,-2.6,0.35,-2.69,-2.18,-0.03
193012,-7.78,-10.82,-13.98,-6.16,-7.08,-12.3
193101,3.7,9.88,13.38,4.43,8.19,6.86
193102,7.79,10.62,16.42,9.77,9.57,15.56
193103,-6.22,-4.3,-7.25,-5.74,-6.85,-6.02
193104,-11.01,-13.33,-16.46,-8.44,-8.94,-18.02
193105,-4.95,-10.19,-11.57,-12.5,-14.07,-16.42
193106,3.33,9.56,13.39,13.02,14.54,19.29
193107,-5.35,-7.19,-7.55,-5.49,-7.05,-11.17
193108,-4.57,-0.42,-1.08,0.25,-0.73,2.88
193109,-30.18,-27.94,-32.55,-27.94,-27.83,-34.79
193110,5.36,11.33,9.91,8.99,4.95,12.15
193111,-3.66,-10.3,-5.18,-6.83,-12.05,-9.56
193112,-15.3,-14.89,-18.29,-11.02,-16.07,-19.91
193201,0.05,2.42,8.96,-2.86,-0.07,1.39
193202,2.02,4.22,-4.42,6.66,3.99,2.27
193203,-9.16,-10.34,-10.68,-8.95,-14.31,-11.61
193204,-15.81,-15.15,-18.83,-17.07,-19.49,-18.27
193205,-16.3,-21.27,-21.15,-18.83,-23.1,-21.49
193206,7.72,1.8,5.34,-2.42,1.03,3.81
193207,26.25,31.38,42.71,24.32,36.3,55.58
193208,50.29,50.9,54.44,27.85,36.6,52.86
193209,-11.1,-4.62,-5.38,-2.69,-3.51,0.46
193210,-17.2,-17.12,-19.58,-8.17,-13.48,-21.47
193211,-7.15,-6.36,-6.52,-4.69,-6.01,-6.62
193212,-3.59,-3.02,-4.67,3.43,6.54,5.5
193301,-1.36,5.2,8.95,-0.57,1.51,8.31
193302,-15.31,-16.43,-16.46,-12.58,-15.88,-19.65
193303,11.61,2.39,10.81,-0.88,4.72,9.55
