Month,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
196307,-0.9948,-0.5733,-0.047,-1.247,0.5767,0.1242
196308,4.6372,4.4594,5.4846,6.1655,4.7846,6.1154
196309,-1.0598,-2.1548,-2.1694,-1.1655,-1.3828,-0.5195
196310,2.0296,1.0125,1.6133,2.1101,1.8512,7.0433
196311,-0.7547,-1.1463,-2.4381,0.1598,0.1683,-2.6032
196312,-0.0896,0.1965,1.1609,2.3276,2.5514,1.6922
196401,4.2223,2.9301,1.4303,2.7895,2.7931,2.5593
196402,2.4672,2.9371,1.5011,2.5652,1.4302,1.7969
196403,5.8664,3.2725,2.4019,4.1085,0.8608,1.6759
196404,-0.9606,-0.17,-1.5282,-1.7484,1.1728,1.0126
196405,2.6493,0.5955,-0.0659,0.9815,1.0041,3.2123
196406,2.1103,1.9743,1.0989,0.3656,2.2911,1.1123
196407,2.8255,2.8313,1.8036,3.2268,2.2007,0.4206
196408,-1.395,-0.1054,-0.6183,-0.3516,-1.1057,-1.8351
196409,3.7909,3.0996,2.576,3.6136,2.5282,3.652
196410,2.0604,1.6568,1.4937,0.331,1.096,0.0021
196411,-0.703,-0.4478,0.4777,1.2028,0.3373,0.3589
196412,-2.0047,0.0586,0.1471,-0.6911,0.9166,0.4485
196501,7.1148,5.8154,6.3446,4.9256,2.6397,5.3989
196502,4.0632,3.4433,4.3015,0.7368,0.0049,1.8346
196503,1.6942,1.2469,0.134,-1.0584,-1.4308,-0.9874
196504,3.7009,5.0611,5.3872,2.3008,3.1278,5.2185
196505,0.578,-0.0962,-0.2367,0.45,-0.389,-0.2064
196506,-9.2423,-8.4072,-10.0669,-5.7807,-3.9511,-5.8371
196507,3.3655,2.667,3.0367,1.5616,1.3223,1.8898
196508,6.2438,4.7252,5.9206,2.2642,2.5054,4.0244
196509,4.508,3.6818,3.7179,4.028,3.0245,3.1322
196510,6.4845,6.314,7.2576,2.476,2.4619,3.1712
196511,7.4924,4.4336,6.1062,-0.8588,-1.0907,2.3096
196512,2.8678,4.0701,4.6601,1.2703,1.1578,0.4776
196601,6.6074,5.9632,5.6293,-0.0018,0.3248,1.1023
196602,4.8028,2.3554,3.7909,-3.2016,-1.5834,0.7062
196603,-1.4978,-3.0403,-1.7142,-1.3294,-2.8724,-1.0299
196604,6.7723,3.0277,6.6958,1.6236,1.5995,3.5379
196605,-11.7781,-9.3377,-10.0096,-5.1839,-4.9005,-3.9479
196606,0.9505,0.0134,0.2907,-0.2351,-1.6257,-1.1125
196607,-1.7575,-1.3572,-2.1289,-0.1261,-0.6822,-3.203
196608,-10.2678,-9.6344,-10.9749,-6.8023,-7.141,-7.8481
196609,-1.366,-1.6692,-2.1068,0.4256,0.5176,-3.7836
196610,-0.7108,-0.3664,-3.7345,6.8786,5.4622,1.3882
196611,2.2848,3.6694,7.6788,-1.5396,0.7538,6.3275
196612,1.3132,1.2784,3.8621,0.9391,0.6531,-1.1688
196701,16.5923,16.0586,19.1931,6.1806,7.2367,9.9146
196702,4.1968,2.8083,3.3942,-1.0364,1.0804,1.7206
196703,5.8439,6.6786,6.8562,3.9673,3.5433,6.1218
196704,3.8948,4.2551,5.3188,1.2574,4.1616,7.2417
196705,-1.2755,-1.7896,-1.7419,-2.2308,-4.8878,-5.0554
196706,7.2314,8.5224,10.2758,1.348,1.4594,3.1102
196707,9.9976,8.0116,7.0831,6.6331,3.7963,4.0486
196708,0.9365,0.8777,-1.4617,-0.6826,-0.6677,-1.0937
196709,4.9025,4.9004,5.9565,3.053,2.8926,3.9903
196710,-3.5824,-0.8481,-3.9222,-4.9303,-3.0778,0.5606
196711,-1.2277,1.1598,1.2941,-0.5521,0.7995,1.5129
196712,8.8988,7.1146,9.2604,3.1574,2.4422,2.6353
196801,3.9758,1.4978,-2.3849,-1.2015,-3.5155,-7.6904
196802,-4.64,-5.3316,-7.3655,-1.7673,-2.8227,-4.0176
196803,-0.7976,-0.7213,-1.9569,-1.1845,0.8467,2.2984
196804,14.2134,13.182,17.2015,6.7213,7.9343,11.1113
196805,8.6601,9.1196,9.1423,0.607,0.8263,3.8202
196806,2.3747,1.0254,-0.5002,2.1452,1.507,-0.4481
196807,-1.1206,-3.0812,-5.5333,-1.5641,-0.687,-4.3366
196808,4.6345,3.0095,3.9136,1.8126,1.1177,1.7013
196809,6.6319,7.0054,7.8381,6.3838,3.2715,3.4026
196810,0.6366,1.3486,-0.1323,3.1361,1.6829,-1.6709
196811,7.3294,7.7978,8.2561,2.7041,6.132,6.7843
196812,0.4639,-0.997,-0.5669,-2.6306,-4.1065,-4.9104
196901,-0.82,-0.3182,-2.0988,-0.9682,0.3263,-2.4572
196902,-8.9893,-7.5642,-10.0227,-4.122,-4.6095,-4.666
196903,2.6305,2.9663,3.2594,2.9385,3.6879,3.1243
196904,1.8127,2.0802,-0.2711,0.7112,2.6682,2.6328
196905,1.2289,-0.1046,-0.7024,0.0375,1.3191,-1.0503
196906,-11.7018,-10.8957,-12.212,-7.1547,-6.2947,-3.59
196907,-7.9598,-9.1394,-11.4785,-5.6836,-6.1247,-6.1134
196908,4.0122,4.2137,8.2572,3.0224,5.1093,6.9357
196909,-1.6779,-0.8464,-1.6444,-2.9013,-2.9498,-1.2822
196910,7.7876,8.0373,10.979,4.7507,5.2014,5.6269
196911,-4.8007,-5.28,-6.1122,-2.5106,-3.8575,-1.8482
196912,-6.6082,-4.343,-4.9522,-3.353,-0.5614,-0.9253
197001,-3.0431,-3.0282,-7.3255,-5.7498,-8.1034,-9.3068
197002,5.2496,2.9435,3.0877,8.016,5.9119,4.0648
197003,-0.0529,-1.7958,-5.04,2.0342,-0.289,-1.8386
197004,-13.2319,-13.8811,-20.4585,-8.5135,-8.4419,-13.0372
197005,-7.9115,-9.7512,-12.3126,-4.9691,-5.279,-7.8147
197006,-5.5409,-6.7831,-9.1942,-5.0982,-3.6955,-7.2394
197007,6.8358,6.7418,6.8168,9.634,6.9097,5.9673
197008,6.3927,6.8356,6.7476,5.8524,4.1408,5.8666
