Month,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
192701,-0.09,3.62,0.4,-0.4,0.27,0
192702,7.26,6.11,6.05,7.27,3.8,4.47
192703,-3.38,-2.88,-2.06,-3.63,-0.24,2.23
192704,-0.51,-0.56,3.32,-2.72,0.75,1.82
192705,2.39,11.21,6.82,5.52,4.85,7.11
192706,-2.06,-0.44,-2.88,-3.72,-2.12,-1.87
192707,3.14,4.29,6.93,4.53,7.84,9.38
192708,0,-0.44,0.1,1.21,2.1,3.35
192709,2.53,0.3,3.19,3.02,4.87,6.22
192710,-4.5,-1.8,-3.34,-2.11,-3.39,-5.5
192711,11.62,8.64,7.02,5.12,6.02,8.35
192712,0.37,5.74,4.53,1.23,1.7,3.46
192801,2.92,3.47,0.66,-1.93,-0.24,-0.87
192802,-3.5,-1.92,-4.77,-0.81,-1.04,-1.58
192803,6.45,7.81,7.57,6.75,5.3,15.37
192804,8.2,10.42,5.98,11.14,4.02,2.05
192805,2.76,2.37,4.01,-1.21,1.06,3.24
192806,-9.28,-7.31,-6.27,-5.17,-4.05,-4.09
192807,-1.67,-0.57,1.99,-0.28,0.78,1.56
192808,4.95,2.41,6.29,4.3,6.26,10.21
192809,4.2,5.33,7.61,1.43,1.89,5.25
192810,0.3,0.92,7.29,0.77,0.78,3.88
192811,10.06,11.67,10.55,8.78,13.49,12.15
192812,-2.67,0.65,-1.4,-0.47,0.07,1.67
192901,-0.11,2.19,2.84,3.88,5.2,5.79
192902,-0.12,1.22,3.19,-1.61,-0.83,1.18
192903,-4.2,-5.67,-4.07,0.78,0.82,-1.44
192904,1.74,-0.65,1.9,-0.94,1.74,2.69
192905,-11.22,-8.92,-11.78,-3.41,-4.53,-6.93
192906,4.29,6.13,10.38,3.08,7.82,14.43
192907,0.82,-0.22,2.41,0.9,4.85,4.98
192908,-1.34,-0.02,1.87,5.27,7.6,11.24
192909,-6.12,-3.71,-2.09,-7.4,-3.58,-5.35
192910,-24.33,-19.7,-23.22,-27.98,-11.32,-20.91
192911,-12.59,-10.6,-18.17,-14.24,-8.17,-13.45
192912,-7.78,-1.97,-0.57,0.09,-1.62,3.15
193001,17.84,8.76,6.7,4.31,5.87,4.97
193002,4.13,3.3,2.86,0.78,1.8,2.95
193003,11.84,11.42,6.35,9.91,6.66,7.04
193004,-5.42,-6.5,-2.1,-5.94,-2.46,-1.44
193005,-6.06,-1.64,-2.31,2.79,-2.24,-1.01
193006,-25.7,-18.24,-16.71,-18.61,-17.32,-14.38
193007,4.61,3.66,3.01,5.77,6.65,3.05
