Month,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
196307,-0.8881,-0.4628,-0.4255,-0.8379,0.3394,0.1328
196308,4.8454,4.2019,5.3056,5.5102,4.8967,5.8997
196309,-1.0516,-1.1309,-2.7787,-1.6076,-0.7795,-1.4775
196310,1.3254,1.9361,1.6362,0.935,1.4686,6.1226
196311,-1.2601,-1.1233,-2.2541,-1.4794,0.1636,-1.1615
196312,-0.0814,0.8503,0.4602,2.2995,2.456,2.108
196401,2.9406,2.7637,2.9293,2.1826,2.8758,2.6176
196402,2.8412,1.2543,2.9507,2.2266,1.282,2.1921
196403,5.1897,3.3439,2.5341,3.219,1.0344,1.869
196404,-1.2616,-0.7853,-1.327,2.2864,1.0744,-0.4415
196405,1.9832,0.3852,1.3368,1.8838,1.2289,1.9746
196406,1.391,1.6816,1.9446,1.8323,2.5634,0.553
196407,2.7375,2.9147,2.2151,1.8901,1.6097,2.4502
196408,-0.6144,-0.8434,-0.6728,-1.1346,-1.0497,-1.2524
196409,3.097,2.5671,3.3576,4.3338,2.2153,3.3572
196410,1.3339,2.1065,2.4669,1.6129,1.1398,0.1239
196411,-0.7936,-0.0711,0.8296,0.8606,0.3511,0.4769
196412,-0.7397,-0.5137,-0.1219,-0.9665,0.4694,0.9638
196501,6.6139,5.7383,7.1463,4.3626,1.818,5.3243
196502,3.6456,4.0524,4.0112,0.7785,0.0024,0.9278
196503,1.0364,0.965,0.5913,-1.0053,-1.4048,-1.2204
196504,4.991,4.4642,4.0587,2.8075,2.6658,4.419
196505,-0.3248,0.0164,0.26,0.7671,0.0607,-0.7472
196506,-9.6554,-8.9161,-9.6933,-5.5478,-3.8697,-5.2532
196507,2.877,3.7981,2.077,3.7788,0.6851,1.7155
196508,4.9397,4.9967,6.0617,1.6968,1.9116,4.3715
196509,4.8959,4.6685,2.8556,4.0162,2.5089,3.9133
196510,6.6992,5.8342,6.8896,2.3002,1.0914,4.5803
196511,6.7386,3.9408,4.6991,0.6943,-1.059,0.5702
196512,4.9577,3.5775,3.9209,1.7107,1.1636,0.5
196601,7.7463,5.3123,4.0183,3.2249,-1.0242,1.1548
196602,4.9458,1.8931,3.4699,-2.0559,-1.9733,-0.377
196603,-2.658,-1.6491,-2.1729,-3.1835,-2.4862,-1.1365
196604,5.6723,4.7711,6.0011,1.8129,2.0937,2.2884
196605,-11.3918,-9.6066,-9.2615,-6.008,-4.2883,-4.6193
196606,-0.2457,1.3279,0.1097,-1.2891,-0.7248,-1.7251
196607,-1.7254,-1.0111,-2.1442,-0.7618,-1.1701,-1.335
196608,-10.5643,-9.9836,-10.3769,-8.4223,-5.8919,-8.0633
196609,-1.8159,-1.7258,-1.5871,0.9588,0.0954,-1.6003
196610,-0.6863,-0.4742,-2.7519,7.1749,6.7569,2.1673
196611,3.062,3.4914,7.5874,0.7887,-1.3354,4.6054
196612,1.5,1.9225,3.337,-0.0438,0.8698,-0.1662
196701,17.577,14.9617,18.8337,8.5694,6.3984,8.4639
196702,3.3463,2.4967,4.3713,-0.8474,-0.2154,2.4346
196703,5.9259,7.2988,6.1158,3.8382,3.6591,4.9045
196704,3.8604,4.1371,5.2689,2.7624,2.618,6.4827
196705,-0.846,-1.572,-1.9289,-2.7154,-4.0397,-5.3381
196706,9.6586,7.6027,8.815,2.2612,1.7065,1.8192
196707,8.806,7.8458,7.6902,7.0705,3.0877,5.0449
196708,-0.6837,0.3944,0.5227,-0.6062,-0.9111,-0.7875
196709,5.9669,5.1449,5.7476,4.0404,2.0159,4.226
196710,-2.0905,-2.0651,-3.1253,-3.7097,-3.6781,-0.885
196711,-0.354,0.2584,1.4949,-0.1831,1.2079,0.5596
196712,9.7573,7.1634,8.6402,3.1146,3.0384,2.1749
196801,3.0407,-0.19,-0.5765,-2.478,-2.3525,-6.6191
196802,-5.9698,-5.1731,-6.1861,-3.0663,-2.6057,-3.0618
196803,-0.5155,-1.5608,-0.9429,-0.0658,-0.7878,2.4349
196804,15.9499,11.8465,17.0136,7.7654,6.5498,10.7892
196805,9.5189,8.2963,8.9601,2.2425,0.5817,2.3601
196806,0.5753,1.0801,0.6913,1.7151,2.5002,-0.3817
196807,-2.2677,-3.1279,-4.7774,-0.5547,-0.0822,-4.3856
196808,4.2618,2.9083,4.2927,2.4085,1.1395,1.2618
196809,8.3702,5.5759,7.4539,6.5253,3.6898,3.0697
196810,0.3636,1.1382,0.6769,2.3991,1.7037,-0.6317
196811,7.6879,7.8317,7.8917,5.0611,5.5189,5.8495
196812,1.5114,-1.2742,-0.7806,-3.6033,-3.5563,-4.8325
196901,-0.8996,-0.6613,-2.1508,-0.2464,0.3405,-2.0474
196902,-10.6006,-7.7182,-8.4283,-5.9301,-4.704,-3.8907
196903,3.8554,2.3079,2.6942,4.8513,2.7679,3.2282
196904,1.9118,1.0674,0.5235,0.736,2.3606,2.7887
196905,0.5438,0.4537,-0.6758,0.733,0.6519,-0.0983
196906,-12.6957,-10.8415,-10.7313,-9.5355,-6.3839,-3.0523
196907,-10.1472,-8.8025,-10.1842,-7.9656,-5.8442,-5.323
196908,5.0886,4.5745,7.7329,5.5639,4.2899,5.4221
196909,-2.2691,-1.6483,-0.3635,-5.5122,-2.9476,-0.8606
196910,10.2068,8.4278,9.2296,5.1876,4.4657,5.8739
196911,-5.4479,-5.5474,-5.2409,-4.7805,-2.9237,-2.4063
196912,-6.6685,-5.4492,-3.37,-1.6383,-1.8997,-0.7509
197001,-2.256,-5.4417,-6.7571,-8.5687,-7.0029,-8.0708
197002,3.4121,3.4726,3.5081,8.8851,6.4736,4.418
197003,-2.8048,-1.3783,-4.1811,-0.2337,0.7649,-0.9015
197004,-16.7226,-14.4444,-17.9183,-9.1625,-9.13,-9.99
197005,-10.7184,-9.5903,-10.2427,-4.0697,-4.8073,-7.3323
197006,-7.9728,-6.9844,-6.9043,-4.0885,-4.7671,-5.2968
197007,5.286,6.6566,8.6405,8.5162,9.5678,4.955
197008,6.1711,6.5588,7.0096,4.8676,4.3489,5.3716
197009,13.9842,11.0462,13.4986,3.9783,2.2209,5.3025
197010,-8.3241,-5.0221,-5.4319,-1.7637,-1.3423,-0.934
197011,-0.6649,1.9927,2.3931,4.9878,5.8494,5.3233
197012,8.5321,8.9792,9.1374,6.1343,6.0509,5.7529
197101,14.0244,11.6503,10.4849,4.5301,4.5886,3.965
197102,3.791,3.187,4.5446,1.6359,0.9074,1.9956
197103,5.3762,5.5395,7.9627,3.6541,3.4904,5.1152
197104,4.5441,3.3768,2.718,4.7399,2.8775,3.6967
197105,-5.2696,-5.1019,-4.0927,-5.0134,-2.992,-3.5745
197106,-2.407,-1.4169,0.6554,-0.1589,1.3415,-0.2425
197107,-6.4057,-4.9232,-5.7767,-4.5704,-3.7571,-4.2037
197108,4.9126,4.3371,4.9051,5.3217,3.5053,4.6941
197109,-2.4302,0.1518,0.8568,-1.7604,-0.7123,0.2629
197110,-7.2213,-3.9783,-5.6913,-4.4791,-4.0562,-3.2544
197111,-3.9974,-2.4563,-2.6196,-1.7281,-0.1646,1.3291
197112,12.3933,11.8177,12.5767,10.3192,8.0543,9.3279
197201,12.01,7.0753,7.6574,2.6977,0.4393,3.5505
197202,3.7233,2.7473,4.7441,1.6495,2.0647,4.5476
197203,0.2829,-0.1266,0.7011,-0.8411,0.6296,1.6956
197204,0.5947,0.8394,0.437,1.6417,-0.2779,0.8791
197205,-2.8384,-1.5038,-1.227,0.3207,0.934,3.5094
197206,-2.9391,-3.3149,-2.9482,-4.1442,-2.7451,-0.6235
197207,-2.807,-2.7583,-5.0051,-3.194,-0.7753,1.0537
197208,1.2923,1.5578,0.3233,5.8987,4.8809,2.5162
197209,-4.2824,-2.8064,-2.4237,-1.856,-0.219,-0.4133
197210,-1.8469,-0.7631,-1.7124,0.8971,2.1245,0.6024
197211,5.3315,5.5489,5.5341,7.6279,6.2256,3.4254
197212,-2.2225,-0.6862,-1.4806,-1.7113,0.6447,2.3832
197301,-4.7672,-5.2319,-5.6718,-3.3216,-3.1655,-1.4567
197302,-7.2266,-7.412,-10.3048,-5.0612,-4.6935,-3.0359
197303,-2.001,-2.6847,-3.2914,0.2423,-0.6621,-0.4229
197304,-5.9212,-5.7496,-9.212,-4.966,-2.7866,-5.203
197305,-8.877,-7.4132,-8.2065,-4.2677,-1.2591,-1.1358
197306,-2.8195,-3.0921,-4.9869,-1.6925,-1.504,-0.1999
197307,13.4853,9.492,15.8288,7.2446,4.6981,4.5484
197308,-3.7993,-4.509,-4.704,-1.626,-2.8251,-3.5149
197309,9.3077,9.6496,10.1795,7.728,8.019,2.395
197310,1.3932,0.0705,-2.5747,-0.0408,-0.6386,0.1716
197311,-17.6468,-18.0227,-21.9068,-10.3995,-12.447,-11.4076
197312,-1.3024,-2.2266,-2.3215,4.2966,3.7502,-0.4812
197401,12.1718,9.8763,8.7827,1.1117,0.1222,-1.5725
197402,1.6475,0.3018,0.2689,1.2297,1.6678,-1.3938
197403,-0.4949,-0.3385,0.4229,-5.9375,-2.6963,-1.2307
